Symbol,Name,Atomic Number,Atomic Weight
H,Hydrogen,1,1.008
He,Helium,2,4.0026
Li,Lithium,3,6.94
Be,Beryllium,4,9.0122
B,Boron,5,10.81
C,Carbon,6,12.011
N,Nitrogen,7,14.007
O,Oxygen,8,15.999
F,Fluorine,9,18.998
Ne,Neon,10,20.18
Na,Sodium,11,22.99
Mg,Magnesium,12,24.305
Al,Aluminium,13,26.982
Si,Silicon,14,28.085
P,Phosphorus,15,30.974
S,Sulfur,16,32.06
Cl,Chlorine,17,35.45
Ar,Argon,18,39.95
K,Potassium,19,39.098
Ca,Calcium,20,40.078
Sc,Scandium,21,44.956
Ti,Titanium,22,47.867
V,Vanadium,23,50.942
Cr,Chromium,24,51.996
Mn,Manganese,25,54.938
Fe,Iron,26,55.845
Co,Cobalt,27,58.933
Ni,Nickel,28,58.693
Cu,Copper,29,63.46
Zn,Zinc,30,65.38
Ga,Gallium,31,69.723
Ge,Germanium,32,72.63
As,Arsenic,33,74.922
Se,Selenium,34,78.971
Br,Bromine,35,79.904
Kr,Krypton,36,83.798
Rb,Rubidium,37,85.468
Sr,Strontium,38,87.92
Y,Yttrium,39,88.906
Zr,Zirconium,40,91.224
Nb,Niobium,41,92.906
Mo,Molybdenum,42,95.95
Tc,Technetium,43,97
Ru,Ruthenium,44,101.07
Rh,Rhodium,45,102.91
Pd,Palladium,46,106.42
Ag,Silver,47,107.87
Cd,Cadmium,48,112.41
In,Indium,49,114.82
Sn,Tin,50,118.71
Sb,Antimony,51,121.76
Te,Tellurum,52,127.6
I,Iodine,53,126.9
Xe,Xenon,54,131.29
Cs,Caesium,55,132.91
Ba,Barium,56,137.33
La,Lanthanum,57,138.91
Ce,Cerium,58,140.12
Pr,Praseodymium,59,140.91
Nd,Neodymium,60,144.24
